Facility id,Scope Id,Category,Sub Category,Fuel/Name,Heat Content,Co2 Factor,Co2 Unit,Ch4 Factor,Ch4 Unit,N2o Factor,N2o Unit,Biogenic,Ar4,Ar5,Unit,Chemical Name,Formula,Gas,Biofuel,Quantity,Co2 Equivalent,Date
34234,,Stationary Combustion,,Coal Coke,24.8,113.67,Kg,11,Gm,1.6,Gm,,114.4218,114.402,mmBtu,,,,,1,2837.66064,09-07-2021
,,,,,,,,,,,,,,,,,,,,1,0.238174455,09-09-2021
,,,,,,,,,,,,,,,,,,,,1,2620.444762,09-10-2021
,,,,,,,,,,,,,,,,,,,,1,324252.707,09-10-2021
,,,,,,,,,,,,,,,,,,,,1,3133.848,09-14-2021
,,,,,,,,,,,,,,,,,,,,1,1399.284278,09-15-2021
,,,,,,,,,,,,,,,,,,,,1,2620.444762,09-17-2021
